Name,Synopsis,Genre
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy, Drama, Sci-Fi"
"Black Cat, White Cat",A small time hustler gets more than he bargained for when he tries to repay his debts by marrying his son to a sister of a troublesome gangster.,"Comedy, Crime, Romance"
The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy, Crime, Sport"
In the Mood for Love,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Drama, Romance"
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama
Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime, Drama, Thriller"
Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.","Comedy, Drama, War"
La Haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama"
Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","Drama, Romance"
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance"
Three Colors: Red,A model discovers a retired judge is keen on invading people's privacy.,"Drama, Mystery, Romance"
Chungking Express,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.","Comedy, Crime, Drama"
Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Action, Adventure, Sci-Fi"
In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography, Drama"
Raise the Red Lantern,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.","Drama, History, Romance"
Dead Poets Society,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings. -Camilo Alarcón,"Comedy, Drama"
The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Adventure, Family, Fantasy"
Stand by Me,"After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.","Adventure, Drama"
Platoon,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"Drama, War"
"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama
Nausicaä of the Valley of the Wind,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Animation, Adventure, Fantasy"
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror, Mystery, Sci-Fi"
Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"Animation, Drama, Fantasy"
Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.","Adventure, Drama"
Fanny and Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Drama
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Action, Sci-Fi, Thriller"
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Biography, Drama"
Monty Python's Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth (Graham Chapman) spends his life being mistaken for a messiah.",Comedy
The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Drama, War"
Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"Drama, Sport"
Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Drama
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure, Drama, History"
The Mirror,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","Biography, Drama"
Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.","Comedy, Drama"
Cries & Whispers,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Drama
Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"Drama, Mystery, Sci-Fi"
Le Samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,"Crime, Drama, Mystery"
Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama"
Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama, Thriller"
The Battle of Algiers,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama, War"
The Exterminating Angel,The guests at an upper-class dinner party find themselves unable to leave.,"Drama, Fantasy"
What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,"Drama, Horror, Thriller"
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.","Action, Comedy, Crime"
The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,"Drama, Western"
Ivan's Childhood,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.","Drama, War"
The Virgin Spring,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Drama
Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.","Biography, Drama, History"
The 400 Blows,"A young boy, left without attention, delves into a life of petty crime.","Crime, Drama"
Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Adventure, Drama, History"
The Hidden Fortress,"Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general.","Adventure, Drama"
Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,"Drama, Film-Noir"
Nights of Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama
Throne of Blood,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.","Drama, History"
The Bridge on the River Kwai,British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors.,"Adventure, Drama, War"
On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Crime, Drama, Thriller"
The Wages of Fear,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller"
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","Drama, Film-Noir"
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"Action, Crime, Drama"
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir, Mystery, Thriller"
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Drama, Music, Romance"
The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.","Comedy, Drama, Romance"
Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama, Mystery, Romance"
Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","Comedy, Drama"
Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Drama, History, Romance"
La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","Drama, War"
It Happened One Night,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,"Comedy, Romance"
The Passion of Joan of Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography, Drama, History"
Sunrise,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"Drama, Romance"
The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Action, Adventure, Comedy"
The Cabinet of Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","Fantasy, Horror, Mystery"
Shoplifters,A family of small-time crooks take in a child they find outside in the cold.,"Crime, Drama"
Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Comedy, Drama, Romance"
Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","Drama, History"
Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Action, Comedy, Drama"
Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","Action, Thriller"
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","Comedy, Drama, Music"
Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","Biography, Drama"
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure, Drama, Sci-Fi"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Animation, Adventure, Comedy"
The Tale of The Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Animation, Adventure, Drama"
Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.","Drama, Family"
Special 26,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,"Crime, Drama, Thriller"
Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama
The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","Action, Crime, Thriller"
The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","Biography, Drama, Thriller"
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Action, Adventure, Comedy"
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"Action, Adventure, Sci-Fi"
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Action, Drama, Mystery"
Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","Drama, Romance, Sci-Fi"
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Biography, Drama, Music"
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Biography"
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,"Drama, Romance"
Elite Squad: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.","Action, Crime, Drama"
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History"
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Action, Adventure, Comedy"
About Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,"Drama, Mystery, Thriller"
Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?","Drama, Romance"
Ip Man,"During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense.","Action, Adventure, Biography"
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama
The Breath,Story of 40-man Turkish task force who must defend a relay station.,"Action, Drama, Thriller"
Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Drama, Romance"
Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller"
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Action, Adventure, Sci-Fi"
Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Animation, Biography, Drama"
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","Biography, Drama"
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Biography, Drama"
Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","Adventure, Drama, Thriller"
The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"Action, Mystery, Thriller"
3-Iron,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,"Crime, Drama, Romance"
Sin City,"A movie that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.","Crime, Thriller"
The Diving Bell and the Butterfly,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,"Biography, Drama"
G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,"Adventure, Comedy, Sci-Fi"
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,"Animation, Adventure, Comedy"
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance"
Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","Action, Adventure, Thriller"
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller"
The Return,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Drama
"Spring, Summer, Fall, Winter... and Spring",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,"Drama, Romance"
The Sea Inside,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.","Biography, Drama"
Cinderella Man,"The story of James J. Braddock (Russell Crowe), a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.","Biography, Drama, History"
Kal ho naa ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.","Comedy, Drama, Romance"
Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Crime, Drama, Mystery"
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action, Adventure, Fantasy"
Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,"Adventure, Drama, Fantasy"
The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure"
My Sassy Girl,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.","Comedy, Drama, Romance"
Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits the town, she finds out that their support has a price. Yet her dangerous secret is never far away.","Crime, Drama"
Vizontele,"The film is about the introduction of television to a small village in southeast Anatolia in 1974. Employing a tragicomic language, it tells of the efforts of Emin who is the village idiot ... See full summary »","Comedy, Drama"
Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.","Drama, Mystery, Sci-Fi"
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Animation, Adventure, Comedy"
Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Drama
Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.","Crime, Drama, Musical"
Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","Drama, Mystery, Thriller"
The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,"Biography, Drama"
Perfect Blue,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,"Animation, Horror, Mystery"
The Celebration,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Drama
Central Station,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Drama
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure"
Knockin' on Heaven's Door,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.","Action, Crime, Comedy"
Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Drama
Secrets & Lies,"A successful black woman discovers that her birth mother is an underprivileged white woman, but the woman denies it. As emotions run high, everyone's secrets are exposed.","Comedy, Drama"
12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","Mystery, Sci-Fi, Thriller"
Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,"Animation, Action, Crime"
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Animation, Family, Fantasy"
Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,"Comedy, Fantasy, Romance"
"Blood In, Blood Out","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.","Crime, Drama"
Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Drama
Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation, Adventure, Comedy"
JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,"Drama, History, Thriller"
Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Animation, Family, Fantasy"
Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.","Adventure, Drama, Western"
Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Drama
Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,"Animation, Drama, Sci-Fi"
Wings of Desire,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,"Drama, Fantasy, Romance"
Au Revoir les Enfants,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.","Drama, War"
Castle in the Sky,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"Animation, Adventure, Drama"
The Terminator,"In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.","Action, Sci-Fi"
A Christmas Story,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.","Comedy, Family"
Gandhi,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"Biography, Drama, History"
Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,"Drama, History, War"
Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.","Comedy, Drama"
Annie Hall,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,"Comedy, Romance"
All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","Biography, Drama, History"
Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure, Drama, Thriller"
Dog Day Afternoon,"A man robs a bank to pay for his lover's operation, which turns into a hostage situation and a media circus.","Biography, Crime, Drama"
Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Comedy
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.","Biography, Crime, Drama"
The Exorcist,"When a 12 year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",Horror
Sleuth,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.","Mystery, Thriller"
The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","Drama, Romance"
Fiddler on the Roof,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.","Drama, Family, Musical"
The Conformist,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Drama
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","Biography, Crime, Drama"
Rosemary's Baby,"A young couple moves in to a fancy apartment surrounded by peculiar neighbors. When the timid and passive wife becomes mysteriously pregnant while the actor husband becomes successful, the safety of her fetus begins to control her life.","Drama, Horror"
Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","Adventure, Sci-Fi"
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,"Comedy, Drama, Romance"
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Drama
The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,"Biography, Drama, Family"
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","Drama, Romance, War"
A Fistful of Dollars,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","Action, Drama, Western"
8½,A harried movie director retreats into his memories and fantasies.,Drama
Vivre Sa Vie,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Drama
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,"Drama, Sport"
La Dolce Vita,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,"Comedy, Drama"
Rio Bravo,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.","Action, Drama, Western"
Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","Crime, Drama, Mystery"
Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","Crime, Drama, Film-Noir"
Cat on a Hot Tin Roof,"Brick Pollitt (Paul Newman), an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie (Dame Elizabeth Taylor). His reunion with his father, Big Daddy (Burl Ives), who is dying of cancer, jogs a host of memories and revelations for both father and son.",Drama
The Killing,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,"Crime, Drama, Film-Noir"
The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.","Crime, Drama, Film-Noir"
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Drama
Diabolique,"The wife and mistress of a loathed school principal murder him with the perfect alibi, but then his body disappears.","Crime, Drama, Horror"
Stalag 17,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.","Comedy, Drama, War"
Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,"Comedy, Romance"
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Drama
Strangers on a Train,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"Crime, Film-Noir, Thriller"
Kind Hearts and Coronets,A distant poor relative of the Duke of D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,"Comedy, Crime"
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"Crime, Drama, Mystery"
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.","Crime, Drama, Film-Noir"
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.","Drama, Romance"
Laura,A Police detective falls in love with the woman whose murder he is investigating.,"Drama, Film-Noir, Mystery"
The Best Years of Our Lives,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,"Drama, Romance, War"
Arsenic and Old Lace,"A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family.","Comedy, Crime, Thriller"
The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","Film-Noir, Mystery"
